id,long_code,nombre,poblacion
1702,21012AA000,Berrocal                                                              ,296
1705,21013AA000,Bollullos Par del Condado                                             ,14263
1712,21014AA000,Bonares                                                               ,6101
1716,21015AA000,Cabezas Rubias                                                        ,704
1719,21016AA000,Cala                                                                  ,1140
1724,21902AA000,"Zarza-Perrunal,La                                                     ",1215
1727,21018AA000,Campillo (El)                                                         ,2015
1730,21019AA000,Campofrío                                                             ,745
1736,21021AA000,Cartaya                                                               ,21128
1741,21022AA000,Castaño del Robledo                                                   ,222
1744,21024AA000,Corteconcepción                                                       ,563
1745,21025AA000,Cortegana                                                             ,4649
1749,21028AA000,Cumbres de San Bartolomé                                              ,366
1750,21029AA000,Cumbres Mayores                                                       ,1731
1751,21030AA000,Chucena                                                               ,2235
1753,21032AA000,Escacena del Campo                                                    ,2325
1755,21033AA000,Fuenteheridos                                                         ,806
1757,21034AA000,Galaroza                                                              ,1381
1758,21035AA000,Gibraleón                                                             ,12940
1761,21036AA000,Granada de Río-Tinto (La)                                             ,247
1762,21037AA000,Granado (El)                                                          ,498
1763,21038AA000,Higuera de la Sierra                                                  ,1306
1764,21039AA000,Hinojales                                                             ,329
1779,21042AA000,Isla Cristina                                                         ,21603
1783,21043AA000,Jabugo                                                                ,2208
1784,21044AA000,Lepe                                                                  ,28813
1788,21045AA000,Linares de la Sierra                                                  ,283
1789,21046AA000,Lucena del Puerto                                                     ,3278
1790,21047AA000,Manzanilla                                                            ,2147
1792,21049AA000,Minas de Riotinto                                                     ,3703
1804,21054AA000,Palma del Condado (La)                                                ,10726
1812,21057AA000,Paymogo                                                               ,1137
1813,21058AA000,Puebla de Guzmán                                                      ,3115
1815,21060AA000,Punta Umbría                                                          ,16069
1819,21061AA000,Rociana del Condado                                                   ,8048
1820,21062AA000,Rosal de la Frontera                                                  ,1665
1822,21063AA000,San Bartolomé de la Torre                                             ,3997
1827,21067AA000,Santa Ana la Real                                                     ,475
1830,21069AA000,Santa Olalla del Cala                                                 ,2038
1831,21070AA000,Trigueros                                                             ,7989
1832,21071AA000,Valdelarco                                                            ,243
1833,21072AA000,Valverde del Camino                                                   ,12655
1840,21074AA000,Villalba del Alcor                                                    ,3335
1841,21075AA000,Villanueva de las Cruces                                              ,393
1842,21076AA000,Villanueva de los Castillejos                                         ,2953
1846,21079AA000,Zufre                                                                 ,753
1699,21011AA000,Beas                                                                  ,4359
1752,21031AA000,Encinasola                                                            ,1269
1642,21001AA000,Alájar                                                                ,780
1662,21005AA000,Almonte                                                               ,25233
1723,21017AA000,Calañas                                                               ,2754
1733,21020AA000,Cañaveral de León                                                     ,382
1747,21026AA000,Cortelazor                                                            ,299
1814,21059AA000,Puerto Moral                                                          ,282
1823,21064AA000,San Juan del Puerto                                                   ,9659
1824,21065AA000,Sanlúcar de Guadiana                                                  ,422
1825,21066AA000,San Silvestre de Guzmán                                               ,662
1845,21078AA000,Zalamea la Real                                                       ,2973
1658,21004AA000,Almonaster la Real                                                    ,1793
1748,21027AA000,Cumbres de Enmedio                                                    ,63
1766,21041AA000,Huelva                                                                ,142532
1793,21050AA000,Moguer                                                                ,22956
1800,21053AA000,Niebla                                                                ,4244
1806,21055AA000,Palos de la Frontera                                                  ,12537
1811,21056AA000,Paterna del Campo                                                     ,3465
1829,21068AA000,Santa Bárbara de Casa                                                 ,1102
1683,21008AA000,Aroche                                                                ,3030
1743,21023AA000,Cerro de Andévalo (El)                                                ,2272
1765,21040AA000,Hinojos                                                               ,4094
1791,21048AA000,Marines (Los)                                                         ,416
1797,21051AA000,Nava (La)                                                             ,259
1798,21052AA000,Nerva                                                                 ,5081
1839,21073AA000,Villablanca                                                           ,2921
1656,21003MM000,Mc. Moguer-Palos de la Frontera                                       ,0
1685,21008MM000,Mc. Desarrollo Condado de Huelva                                      ,0
1689,21009MM000,Mc. Sierra Minera                                                     ,0
1740,21021MM000,Mc. Campiña-Andévalo                                                  ,0
23554,21023MM000,Mc. Servicios de la Provincia de Huelva                               ,0
1709,21013MM000,Mc. Islantilla                                                        ,0
2894,22002AA000,Abizanda                                                              ,162
2899,22003AA000,Adahuesca                                                             ,210
2905,22004AA000,Agüero                                                                ,143
2921,22007AA000,Albalate de Cinca                                                     ,1138
2930,22009AA000,Albelda                                                               ,702
2939,22012AA000,Albero Bajo                                                           ,130
2944,22014AA000,Alcalá de Gurrea                                                      ,231
2955,22018AA000,Alcubierre                                                            ,412
2959,22019AA000,Alerre                                                                ,221
2961,22020AA000,Alfántega                                                             ,130
2965,22022AA000,Almunia de San Juan                                                   ,722
2966,22023AA000,Almuniente                                                            ,440
2967,22024AA000,Alquézar                                                              ,348
2969,22025AA000,Altorricón                                                            ,1429
2973,22027AA000,Angüés                                                                ,373
2974,22028AA000,Ansó                                                                  ,418
2976,22032AA000,Aragüés del Puerto                                                    ,120
2977,22035AA000,Arén                                                                  ,308
2978,22036AA000,Argavieso                                                             ,119
2979,22037AA000,Arguis                                                                ,160
2982,22041AA000,Azara                                                                 ,170
2983,22042AA000,Azlor                                                                 ,154
2985,22044AA000,Bailo                                                                 ,262
2989,22046AA000,Ballobar                                                              ,879
2990,22047AA000,Banastás                                                              ,334
2991,22048AA000,Barbastro                                                             ,17295
2994,22049AA000,Barbués                                                               ,86
2995,22050AA000,Barbuñales                                                            ,96
2996,22051AA000,Bárcabo                                                               ,117
2997,22052AA000,Belver de Cinca                                                       ,1306
3004,22058AA000,Bierge                                                                ,253
3012,22060AA000,Binaced                                                               ,1577
3013,22061AA000,Binéfar                                                               ,10070
3014,22062AA000,Bisaurri                                                              ,183
3020,22063AA000,Biscarrués                                                            ,186
3021,22064AA000,Blecua y Torres                                                       ,186
3022,22066AA000,Boltaña                                                               ,1104
3024,22068AA000,Borau                                                                 ,87
3025,22069AA000,Broto                                                                 ,599
3030,22072AA000,Caldearenas                                                           ,242
3031,22074AA000,Campo                                                                 ,463
3032,22075AA000,Camporrélls                                                           ,151
3033,22076AA000,Canal de Berdún                                                       ,337
3034,22077AA000,Candasnos                                                             ,418
3035,22078AA000,Canfranc                                                              ,596
3037,22079AA000,Capdesaso                                                             ,204
3038,22080AA000,Capella                                                               ,360
3040,22082AA000,Castejón del Puente                                                   ,328
3048,22086AA000,Castiello de Jaca                                                     ,242
3049,22087AA000,Castigaleu                                                            ,96
3051,22089AA000,Castillonroy                                                          ,324
3052,22090AA000,Colungo                                                               ,128
3053,22094AA000,Chalamera                                                             ,130
3054,22095AA000,Chía                                                                  ,92
3058,22103AA000,Estadilla                                                             ,840
3060,22106AA000,Fago                                                                  ,26
3062,22109AA000,Fiscal                                                                ,386
3064,22111AA000,Foradada del Toscar                                                   ,158
3065,22112AA000,Fraga                                                                 ,15373
3076,22119AA000,Gurrea de Gállego                                                     ,1450
3082,22125AA000,Huesca                                                                ,54136
