codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43148,7.2,5.3783285,1,2022,7
43148,7.3,70.30685249,1,2022,7
43148,8.1,52.84792823,1,2023,8
43148,8.2,55.28913963,1,2022,8
43148,8.4,50.98193244,1,2023,8
43148,8.5,42.60416667,1,2023,8
43148,8.9,39.75853318,1,2022,8
43148,9.1,70.56578947,1,2023,9
43148,9.4,24.34482759,1,2023,9
43148,9.5,77.28640004,1,2021,9
43155,1.2,12.38938053,1,2021,1
43155,10.1,60.14625229,1,2021,10
43155,10.2,77.56290179333332,3,2021,10
43155,11.2,89.315465115,2,2024,11
43155,11.4,38.80778126,1,2024,11
43155,11.6,33.333333333333336,3,2024,11
43155,11.7,7.25009337656,3,2018,11
43155,12.4,15.86107266,1,2022,12
43155,12.5,59.22789539,1,2022,12
43155,13.1,77.442336805,2,2020,13
43155,13.2,50.291594,1,2023,13
43155,14.1,0.0,1,2022,14
43155,15.1,0.7648430497,1,2018,15
43155,15.2,0.17592896802000002,2,2021,15
43155,15.5,16.76923077,1,2019,15
43155,16.6,39.800000000000004,3,2024,16
43155,17.17,57.934782605,2,2024,17
43155,17.8,47.3,1,2024,17
43155,2.2,0.5276244061,1,2023,2
43155,2.4,8.438818565,1,2023,2
43155,3.8,96.36,1,2018,3
43155,4.4,29.46058091,1,2024,4
43155,4.a,93.22,1,2018,4
43155,5.2,46.25,1,2023,5
43155,5.b,100.0,1,2023,5
43155,6.4,77.5212652,1,2022,6
43155,7.2,2.267334564,1,2022,7
43155,7.3,100.0,1,2022,7
43155,8.1,23.4879681,1,2023,8
43155,8.2,63.89280677,1,2022,8
43155,8.4,47.83974863,1,2023,8
43155,8.5,46.25,1,2023,8
43155,8.9,14.57812883,1,2022,8
43155,9.1,28.44736842,1,2023,9
43155,9.4,10.79310345,1,2023,9
43155,9.5,100.0,1,2021,9
43163,1.2,48.67256637,1,2021,1
43163,10.1,75.31992687,1,2021,10
43163,10.2,87.51902587666666,3,2021,10
43163,11.2,50.365232559999995,2,2024,11
43163,11.4,24.9992425,1,2024,11
43163,11.6,17.749174916666664,3,2024,11
43163,11.7,23.450340633333337,3,2018,11
43163,12.4,32.57591994,1,2022,12
43163,12.5,50.13947696,1,2022,12
43163,13.1,55.660089310000004,2,2020,13
43163,13.2,44.63149132,1,2023,13
43163,14.1,1.45,1,2022,14
43163,15.1,100.0,1,2018,15
43163,15.2,9.52504404742,2,2021,15
43163,15.5,16.53846154,1,2019,15
43163,16.6,54.546196183333336,3,2024,16
43163,17.17,55.326086955,2,2024,17
43163,17.8,53.4,1,2024,17
43163,2.2,5.640444979,1,2023,2
43163,2.4,33.75527426,1,2023,2
43163,3.8,75.33,1,2018,3
43163,4.4,21.99170124,1,2024,4
43163,4.a,70.43,1,2018,4
43163,5.2,25.10416667,1,2023,5
43163,5.b,99.89442765,1,2023,5
43163,6.4,47.3656019,1,2022,6
43163,7.2,3.981017664,1,2022,7
43163,7.3,71.51086159,1,2022,7
43163,8.1,23.4879681,1,2023,8
43163,8.2,58.39210155,1,2022,8
43163,8.4,52.86724273,1,2023,8
43163,8.5,25.10416667,1,2023,8
43163,8.9,23.85511991,1,2022,8
