codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43044,1,90.599879805,2,2024
43044,10,31.48608912,1,2024
43044,3,80.7,1,2022
43044,6,50.452923145,2,2023
43045,1,93.29955634500001,2,2024
43045,10,0.0,1,2024
43045,3,42.8,1,2022
43045,6,63.17991632,1,2023
43046,1,57.11518212,2,2024
43046,10,0.0,1,2024
43046,3,0.0,1,2022
43046,6,76.9874477,1,2023
43047,1,38.11986551333334,3,2024
43047,10,31.44085049,1,2024
43047,2,4.755419362,1,2026
43047,3,75.9,1,2022
43047,6,37.24285557,2,2023
43048,1,54.396844225,2,2024
43048,10,0.0,1,2024
43048,3,0.0,1,2022
43048,6,49.37941841,2,2023
43049,1,76.709608595,2,2024
43049,10,46.12078715,1,2023
43049,3,0.0,1,2022
43049,6,56.467581124999995,2,2023
43050,1,45.333644425,2,2024
43050,10,79.16760914,1,2024
43050,3,70.4,1,2022
43050,6,51.066362209999994,2,2023
43051,1,45.333644425,2,2024
43051,10,82.76408052,1,2024
43051,3,42.3,1,2022
43051,6,48.926440745,2,2023
43052,1,46.080098767,2,2024
43052,10,0.0,1,2024
43052,3,0.0,1,2022
43052,6,42.739817,2,2023
43053,1,45.100326645,2,2024
43053,10,4.071477041,1,2024
43053,3,69.6,1,2022
43053,6,65.69037657,1,2023
43054,1,52.617794710000005,2,2024
43054,10,0.0,1,2024
43054,3,0.0,1,2022
43054,6,68.343523695,2,2023
43055,1,74.333395605,2,2024
43055,10,3.030988464,1,2024
43055,3,32.1,1,2022
43055,6,55.027081605,2,2023
43056,1,59.03730205,2,2024
43056,10,0.0,1,2024
43056,3,13.3,1,2022
43056,6,63.67275035,2,2023
43057,1,95.333644425,2,2024
43057,10,0.0,1,2024
43057,3,0.0,1,2022
43058,1,95.333644425,2,2024
43058,10,0.0,1,2024
43058,3,60.2,1,2022
43058,6,71.12970711,1,2023
43059,1,71.28537371,2,2024
43059,10,0.0,1,2024
43059,3,0.0,1,2022
43059,6,53.55648536,1,2023
43060,1,46.639939523500004,2,2024
43060,10,6.989368921,1,2024
43060,3,4.6,1,2022
43060,6,53.634453345,2,2023
43061,1,45.543630425,2,2024
43061,10,0.0,1,2024
43061,3,26.2,1,2022
43062,1,64.00744388000001,2,2024
43062,10,0.0,1,2024
43062,3,72.1,1,2022
43062,6,61.92468619,1,2023
43063,1,46.2667123525,2,2024
43063,10,0.0,1,2024
43063,6,44.58896693,2,2023
43064,1,61.183358285000004,2,2024
43064,10,42.04931011,1,2020
43064,3,65.6,1,2022
43064,6,57.698875625,2,2023
43065,1,76.908663085,2,2024
43065,10,0.0,1,2023
43065,3,78.5,1,2022
43065,6,43.785842105,2,2023
43066,1,38.504480900000004,3,2024
43066,10,0.0,1,2023
43066,2,0.0,1,2026
43066,3,56.8,1,2022
43066,6,63.59832636,1,2023
43067,1,45.706871595950005,2,2024
43067,10,0.0,1,2024
43067,3,91.9,1,2022
43067,6,53.288722555,2,2023
43068,1,70.25899899000001,2,2024
43068,10,0.0,1,2024
43068,3,86.0,1,2022
43068,6,49.7499572,2,2023
43069,1,61.56280591,2,2024
43069,10,0.0,1,2023
43069,3,75.7,1,2022
43069,6,59.41422594,1,2023
43070,1,51.019138330000004,2,2024
43070,10,0.0,1,2024
43070,3,88.6,1,2022
43070,6,74.47698745,1,2023
43071,1,84.261238355,2,2024
43071,10,0.0,1,2024
43071,3,0.0,1,2022
43071,6,49.039903255,2,2023
43072,1,95.333644425,2,2024
43072,10,0.0,1,2024
43072,3,72.4,1,2022
43072,6,62.34309623,1,2023
43073,1,52.44362203,2,2024
43073,10,0.0,1,2024
43073,3,42.5,1,2022
43073,6,50.62761506,1,2023
43074,1,45.333644425,2,2024
43074,10,45.17077584,1,2024
43074,3,52.4,1,2022
43074,6,65.05120262,2,2023
43075,1,92.82058147500001,2,2024
43075,10,51.73037774,1,2023
43075,3,11.1,1,2022
43075,6,77.40585774,1,2023
43076,1,62.060442135,2,2024
43076,10,0.0,1,2024
43076,3,35.5,1,2022
43076,6,52.084907685,2,2023
43077,1,74.80615002500001,2,2024
43077,10,0.0,1,2024
43077,3,0.0,1,2022
43077,6,55.14408812,2,2023
43078,1,45.333644425,2,2024
43078,10,0.0,1,2024
43078,3,82.6,1,2022
43078,6,45.641207660000006,2,2023
43079,1,45.64780776975,2,2024
43079,10,2.375028274,1,2024
