indicador,periodo,codigo_ine,valor,umbral
D-ST-1,2022,43038,44.56,
D-ST-2,2022,43038,2.36,
D-ST-3,2022,43038,1.45,
D-ST-4,2022,43038,1.30,
D-ST-5,2022,43038,0.00,
D-14,2022,43038,27.60,
D-17-a,2021,43038,53.79,
D-17-b,2021,43038,4.50,
D-18-a,2022,43038,513.67,
D-18-b,2022,43038,68.42,
D-18-c,2022,43038,19.18,
D-22-a,2022,43038,18.80,
D-22-b,2022,43038,9.50,
D-23,2022,43038,8.20,
D-24-a,2022,43038,50.50,
D-24-b,2022,43038,21.90,
D-24-c,2022,43038,30.70,
D-26-a,2022,43038,0.17,
D-26-b,2022,43038,9.50,
D-26-c,2022,43038,6.42,
D-26-d,2022,43038,83.91,
D-27-a,2022,43038,0.38,
D-27-b,2022,43038,8.92,
D-27-c,2022,43038,9.38,
D-27-d,2022,43038,81.31,
D-28-a,2022,43038,5.62,
D-28-b,2022,43038,32.76,
D-28-c,2022,43038,56.64,
D-29,2021,43038,411.99,
D-32,2021,43038,5.16,
D-33,2021,43038,1.42,
D-34,2021,43038,1.89,
D-35,2021,43038,9.64,
D-ST-6,2022,43038,2.02,
D-ST-7,2022,43038,8.31,
D-37,2022,43038,PG,
D-38,2022,43038,"1,976.00",
D-1,2022,43155,0.32,
D-2-a,2018,43155,66.35,
D-2-b,2018,43155,0.00,
D-2-d,2018,43155,37.99,
D-3-a,2018,43155,0.00,
D-3-b,2018,43155,0.00,
D-4,2022,43155,39.27,
D-5,2018,43155,0.63,
D-6,2022,43155,283.98,
D-7,2018,43155,0.36,
D-8,2022,43155,112.50,
D-9,2022,43155,38.72,
D-10-a,2018,43155,0.95,
D-10-b,2018,43155,66.58,
D-ST-1,2022,43155,35.35,
D-ST-2,2022,43155,3.44,
D-ST-3,2022,43155,0.58,
D-ST-4,2022,43155,1.36,
D-ST-5,2022,43155,0.00,
D-14,2022,43155,14.77,
D-17-a,2021,43155,20.43,
D-17-b,2021,43155,2.88,
D-18-a,2022,43155,394.61,
D-18-b,2022,43155,70.22,
D-18-c,2022,43155,18.51,
D-22-a,2022,43155,18.90,
D-22-b,2022,43155,10.10,
D-23,2022,43155,21.60,
D-24-a,2022,43155,51.40,
D-24-b,2022,43155,22.50,
D-24-c,2022,43155,30.70,
D-26-a,2022,43155,0.18,
D-26-b,2022,43155,5.17,
D-26-c,2022,43155,15.66,
D-26-d,2022,43155,78.99,
D-27-a,2022,43155,0.00,
D-27-b,2022,43155,4.34,
D-27-c,2022,43155,14.68,
D-27-d,2022,43155,80.98,
D-28-a,2022,43155,8.62,
D-28-b,2022,43155,36.58,
D-28-c,2022,43155,55.62,
D-29,2021,43155,405.97,
D-32,2021,43155,-3.22,
D-33,2021,43155,-0.85,
D-34,2021,43155,1.03,
D-35,2021,43155,4.89,
D-ST-6,2022,43155,1.06,
D-ST-7,2022,43155,4.29,
D-37,2022,43155,PG,
D-38,2022,43155,"1,976.00",
D-1,2022,43037,5.13,
D-2-a,2018,43037,35.79,
D-2-b,2018,43037,12.56,
D-2-d,2018,43037,49.82,
D-3-a,2018,43037,0.16,
D-3-b,2018,43037,0.42,
D-4,2022,43037,62.69,
D-5,2018,43037,2.37,
D-6,2022,43037,103.55,
D-7,2018,43037,14.02,
D-8,2022,43037,44.50,
D-9,2022,43037,18.45,
D-10-a,2018,43037,0.53,
D-10-b,2018,43037,59.06,
D-ST-1,2022,43037,38.14,
D-ST-2,2022,43037,21.33,
D-ST-3,2022,43037,14.14,
D-ST-4,2022,43037,8.51,
D-ST-5,2022,43037,6.62,
D-14,2022,43037,34.47,
D-17-a,2021,43037,244.46,
D-17-b,2021,43037,3.48,
D-18-a,2022,43037,542.88,
D-18-b,2022,43037,71.42,
D-18-c,2022,43037,13.40,
D-22-a,2022,43037,16.20,
D-22-b,2022,43037,11.30,
D-23,2022,43037,14.10,
D-24-a,2022,43037,48.20,
