codigo_ine,ods_objetivo,promedio_metas,n_metas
43015,10,59.96933551833333,2
43015,11,73.83341110625,4
43015,12,40.320714635,2
43015,13,29.5,1
43015,15,98.4324458825,2
43015,16,0.0,1
43015,17,26.563327792,2
43015,2,17.40347811325,2
43015,5,94.06609195333333,3
43015,6,100.0,1
43015,7,100.0,1
43015,8,79.85408045999999,3
43016,1,45.60105034666667,4
43016,10,45.04700511277778,3
43016,11,29.8162585718,5
43016,12,90.3286114075,2
43016,13,0.0,1
43016,15,20.1802291497,2
43016,16,55.05541733,1
43016,17,31.478485735,2
43016,2,11.393203618,2
43016,4,0.0,1
43016,5,76.99099616666666,3
43016,6,47.01523954,2
43016,7,0.0,1
43016,8,84.12944590333335,3
43016,9,14.52648475,1
43017,1,92.575962605,2
43017,10,46.069612475,2
43017,11,87.67154911625,4
43017,12,92.0893382725,2
43017,13,0.0,1
43017,15,73.762233735,2
43017,16,0.0,1
43017,17,40.7602440675,2
43017,2,3.345435685,2
43017,5,97.82896551666666,3
43017,6,100.0,1
43017,7,82.6207499,1
43017,8,76.91126436833333,3
43018,1,66.66666667,1
43018,10,37.10957713,2
43018,11,80.04155357125,4
43018,12,56.8444106625,2
43018,13,51.8,1
43018,15,94.91225616,2
43018,16,0.0,1
43018,17,16.0744017275,2
43018,2,29.64566638675,2
43018,4,100.0,1
43018,5,98.64888889000001,3
43018,6,63.87696107,1
43018,7,84.51213833,1
43018,8,83.18318184166667,3
43019,1,61.989134717,5
43019,10,46.62947308722223,3
43019,11,65.993826369,5
43019,12,73.775116115,2
43019,13,49.9,1
43019,15,57.75658215,2
43019,16,93.19158561,1
43019,17,50.0,2
43019,2,24.83929010875,2
43019,4,55.739568427799995,5
43019,5,91.19291188,3
43019,6,65.23252224,1
43019,7,83.43741178,1
43019,8,94.45262248,3
43020,1,50.12456032153334,5
43020,10,76.67236125555554,3
43020,11,31.487553452999997,5
43020,12,63.1571029175,2
43020,13,77.8,1
43020,15,7.052389175,2
43020,16,49.31011083,1
43020,17,31.1135570625,2
43020,2,13.830519899375,2
43020,4,62.38116734666001,5
43020,5,68.02030651333334,3
43020,6,99.82880076,1
43020,7,85.26944172,1
43020,8,88.73667590833332,3
43021,1,62.65743505333333,3
43021,10,61.91714057833333,2
43021,11,74.000871771,5
43021,12,86.720947935,2
43021,13,0.0,1
43021,15,49.3570536425,2
43021,16,16.98710699,1
43021,17,24.46124093,2
43021,2,25.0585480093625,2
43021,4,100.0,1
43021,5,71.21762452333333,3
43021,6,60.47262215,1
43021,7,87.64631507,1
43021,8,95.96620689666668,3
43021,9,100.0,1
43022,1,47.4009133925,4
43022,10,37.01837965944444,3
43022,11,64.50446816899999,5
43022,12,94.5912364175,2
43022,13,56.6,1
43022,15,65.12090019,2
43022,16,4.365528161,1
43022,17,28.16730302,2
43022,2,25.357738528062498,2
43022,4,61.18059302457,5
43022,5,67.50977011333333,3
43022,6,100.0,1
43022,7,99.0158796,1
43022,8,92.016916655,3
43023,1,34.876124305,2
43023,10,41.398620075,2
43023,11,66.70637243125,4
43023,12,91.33864583,2
43023,13,93.0,1
43023,15,69.5176295625,2
43023,16,0.0,1
43023,17,25.0,2
43023,2,32.85338689625,2
43023,4,100.0,1
43023,5,94.26724138000002,3
43023,6,78.74042267,1
43023,7,91.84110262,1
43023,8,95.87218390833334,3
43024,1,42.1280281752,5
43024,10,47.63216620055555,3
43024,11,22.488978075200002,5
43024,12,82.98015832749999,2
43024,13,62.3,1
